Date,Jour,1,2,3,4,5,Star 1,Star 2,Fichier,Feuille
2018-06-15,Vendredi,23,26.0,33.0,38.0,49.0,1,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-12,Mardi,7,21.0,23.0,36.0,38.0,6,8,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-08,Vendredi,8,19.0,32.0,43.0,46.0,2,8,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-05,Mardi,9,15.0,22.0,39.0,46.0,4,5,euromillions-past-draws-archive (6).xls,Sheet 1
2018-06-01,Vendredi,17,18.0,24.0,29.0,40.0,4,5,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-29,Mardi,6,11.0,20.0,38.0,43.0,2,4,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-25,Vendredi,13,15.0,16.0,28.0,41.0,4,5,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-22,Mardi,1,11.0,37.0,41.0,48.0,8,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-18,Vendredi,5,8.0,10.0,13.0,31.0,3,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-15,Mardi,4,16.0,20.0,31.0,39.0,2,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-11,Vendredi,3,22.0,34.0,49.0,50.0,8,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-08,Mardi,17,25.0,35.0,39.0,44.0,2,5,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-04,Vendredi,6,12.0,23.0,39.0,45.0,9,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-05-01,Mardi,6,15.0,17.0,42.0,48.0,4,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-27,Vendredi,12,24.0,40.0,41.0,46.0,5,12,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-24,Mardi,20,23.0,28.0,30.0,44.0,3,7,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-20,Vendredi,3,16.0,25.0,39.0,44.0,7,11,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-17,Mardi,15,27.0,33.0,39.0,50.0,4,6,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-13,Vendredi,5,25.0,34.0,48.0,50.0,6,7,euromillions-past-draws-archive (6).xls,Sheet 1
2018-04-10,Mardi,14,27.0,39.0,46.0,48.0,11,12,euromillions-past-draws-archive (6).xls,Sheet 1
